(0.000, 2.000, 0.000)
(0.000, 1.996, 0.100)
(0.000, 1.988, 0.200)
(0.000, 1.976, 0.200)
(0.000, 1.961, 0.200)
(0.000, 1.941, 0.200)
(0.000, 1.918, 0.200)
(0.000, 1.890, 0.200)
(0.000, 1.859, 0.200)
(0.000, 1.823, 0.200)
(0.000, 1.784, 0.200)
(0.000, 1.741, 0.200)
(0.000, 1.694, 0.200)
(0.000, 1.643, 0.200)
(0.000, 1.588, 0.200)
(0.000, 1.529, 0.200)
(0.000, 1.466, 0.200)
(0.000, 1.493, 0.200)
(0.000, 1.499, 1.867)
(0.000, 1.500, 1.867)
(0.000, 1.500, 1.867)
(0.000, 1.500, 1.867)
(0.000, 1.500, 2.257)
(0.000, 1.500, 2.257)
(0.000, 1.500, 2.257)
(0.000, 1.500, 2.257)
(0.000, 1.500, 2.257)
(0.000, 1.500, 2.751)
(-0.030, 1.500, 2.894)
(-0.050, 1.500, 2.971)
(-0.061, 1.500, 3.010)
(-0.061, 1.500, 3.010)
(-0.136, 1.500, 3.253)
(-0.178, 1.500, 3.350)
(-0.231, 1.500, 3.459)
(-0.271, 1.500, 3.534)
(-0.317, 1.500, 3.615)
(-0.366, 1.500, 3.693)
(-0.366, 1.500, 3.693)
(-0.366, 1.500, 3.693)
(-0.366, 1.500, 3.693)
(-0.607, 1.500, 4.033)
(-0.671, 1.500, 4.100)
(-0.734, 1.500, 4.161)
(-0.800, 1.500, 4.220)
(-0.898, 1.500, 4.302)
(-0.898, 1.500, 4.302)
(-0.898, 1.500, 4.302)
(-0.898, 1.500, 4.302)
(-0.898, 1.500, 4.302)
(-1.249, 1.500, 4.573)
(-1.346, 1.500, 4.624)
(-1.484, 1.500, 4.686)
(-1.543, 1.500, 4.710)
(-1.543, 1.500, 4.710)
(-1.543, 1.500, 4.710)
(-1.543, 1.500, 4.710)
(-1.927, 1.500, 4.853)
(-2.032, 1.500, 4.874)
(-2.148, 1.500, 4.892)
(-2.247, 1.500, 4.902)
(-2.326, 1.500, 4.908)
(-2.326, 1.500, 4.908)
(-2.326, 1.500, 4.908)
(-2.326, 1.500, 4.908)
(-2.326, 1.500, 4.908)
(-2.780, 1.500, 4.924)
(-2.923, 1.500, 4.924)
(-3.024, 1.500, 4.924)
(-3.112, 1.500, 4.924)
(-3.112, 1.500, 4.924)
(-3.112, 1.500, 4.924)
(-3.112, 1.500, 4.924)
(-3.112, 1.500, 4.924)
(-3.586, 1.500, 4.924)
(-3.732, 1.500, 4.924)
(-3.818, 1.500, 4.924)
(-3.911, 1.500, 4.924)
(-3.911, 1.500, 4.924)
(-3.911, 1.500, 4.924)
(-3.911, 1.500, 4.924)
(-3.911, 1.500, 4.924)
(-3.911, 1.500, 4.924)
(-4.462, 1.500, 4.924)
(-4.585, 1.500, 4.924)
(-4.682, 1.500, 4.924)
(-4.682, 1.500, 4.924)
(-4.682, 1.500, 4.924)
(-4.682, 1.500, 4.924)
(-5.136, 1.500, 4.924)
(-5.241, 1.500, 4.924)
(-5.323, 1.500, 4.924)
(-5.418, 1.500, 4.924)
(-5.501, 1.500, 4.924)
(-5.501, 1.500, 4.924)
(-5.501, 1.500, 4.924)
(-5.501, 1.500, 4.924)
(-5.937, 1.500, 4.924)
(-6.032, 1.500, 4.924)
(-6.123, 1.499, 4.924)
(-6.208, 1.494, 4.924)
(-6.299, 1.486, 4.924)
(-6.299, 1.473, 4.924)
(-6.299, 1.457, 4.924)
(-6.299, 1.436, 4.924)
(-6.706, 1.412, 4.924)
(-6.820, 1.383, 4.924)
(-6.949, 1.351, 4.924)
(-7.059, 1.315, 4.924)
(-7.059, 1.275, 4.924)
(-7.059, 1.231, 4.924)
(-7.059, 1.183, 4.924)
(-7.438, 1.131, 4.924)
(-7.551, 1.075, 4.924)
(-7.648, 1.016, 4.924)
(-7.749, 0.952, 4.924)
(-7.842, 0.885, 4.924)
(-7.842, 0.813, 4.924)
(-7.842, 0.738, 4.924)
(-7.842, 0.658, 4.924)
(-8.255, 0.575, 4.924)
(-8.351, 0.488, 4.924)
(-8.437, 0.397, 4.924)
(-8.524, 0.302, 4.924)
(-8.611, 0.203, 4.924)
(-8.611, 0.100, 4.924)
(-8.611, -0.007, 4.924)
(-8.611, -0.117, 4.924)
(-9.040, -0.232, 4.924)
(-9.145, -0.351, 4.924)
(-9.230, -0.473, 4.924)
(-9.314, -0.599, 4.924)
(-9.396, -0.730, 4.924)
(-9.396, -0.864, 4.924)
(-9.396, -1.002, 4.924)
(-9.396, -1.144, 4.924)
(-9.843, -1.290, 4.924)
(-9.843, -1.440, 4.924)
(-10.045, -1.594, 4.924)
(-10.143, -1.752, 4.924)
(-10.229, -1.914, 4.924)
(-10.229, -2.079, 4.924)
